219.142.18.122 - - [05/Nov/2013:18:50:49 +0800] "GET /solr/js/scripts/threads.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:50:50 +0800] "GET /solr/admin/cores?wt=json&indexInfo=false&_=1383648651377 HTTP/1.1" 200 454
219.142.18.122 - - [05/Nov/2013:18:50:50 +0800] "GET /solr/collection1/admin/system?wt=json&_=1383648651453 HTTP/1.1" 200 2946
219.142.18.122 - - [05/Nov/2013:18:50:50 +0800] "GET /solr/tpl/file.html?_=1383648652002 HTTP/1.1" 200 878
219.142.18.122 - - [05/Nov/2013:18:50:50 +0800] "GET /solr/collection1/admin/file?file=schema.xml&contentType=text/xml;charset=utf-8&_=1383648652053 HTTP/1.1" 200 55531
219.142.18.122 - - [05/Nov/2013:19:06:10 +0800] "POST /solr/update HTTP/1.1" 400 283
219.142.18.122 - - [05/Nov/2013:19:06:10 +0800] "GET /solr/update?commit=true HTTP/1.1" 200 160
219.142.18.122 - - [05/Nov/2013:19:06:15 +0800] "GET /solr/tpl/query.html?_=1383649576252 HTTP/1.1" 200 13119
219.142.18.122 - - [05/Nov/2013:19:06:16 +0800] "GET /solr/collection1/select?q=*%3A*&wt=json&indent=true&_=1383649577368 HTTP/1.1" 200 220
219.142.18.122 - - [05/Nov/2013:19:06:19 +0800] "GET /solr/collection1/select?q=*%3A*&wt=json&indent=true&_=1383649580669 HTTP/1.1" 200 220
219.142.18.122 - - [05/Nov/2013:19:06:20 +0800] "GET /solr/ HTTP/1.1" 200 5549
219.142.18.122 - - [05/Nov/2013:19:06:20 +0800] "GET /solr/css/styles/common.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:19:06:20 +0800] "GET /solr/css/styles/analysis.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:19:06:20 +0800] "GET /solr/css/styles/cloud.css?_=4.4.0 HTTP/1.1" 304 -
